date,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent
2023-12-09,0.06606134109798671,154.63557712863835,4129.4966416559755,9666275.098564517,1.0
2023-12-08,0.08185043017248243,193.06321542585172,5131.0910328032205,12102867.771717412,1.0
2023-12-07,0.09697247281750773,228.47166205338254,5988.214066520649,14108511.21724112,1.0
2023-12-06,0.09408456535640317,210.06813872504048,6724.206571190819,15013531.214837117,1.0
2023-12-05,0.09639165020445789,221.07269665273859,6740.7936161584985,15459901.548970535,1.0
2023-12-04,0.09801988992152409,219.88882807889865,5745.201125131506,12888257.102656966,1.0
2023-12-03,0.06919762522266049,151.76316344705398,4005.826478656902,8785516.795768015,1.0
2023-12-02,0.07842130094043752,169.7783877168984,4209.675762442088,9113747.861708645,1.0
2023-12-01,0.08916944842515237,186.13961387387178,5340.289641938031,11147758.223034937,1.0
2023-11-30,0.09849416589286751,202.16236598595145,5509.695626694349,11308823.153713709,1.0
2023-11-29,0.0881016034604204,178.7516740002197,4681.778498147765,9498984.2519508,1.0
2023-11-28,0.10973295981995303,224.76466307444198,5035.248095849539,10313636.336947314,1.0
2023-11-27,0.08613183027258328,174.61866355162172,4073.273861305968,8257918.538245749,1.0
2023-11-26,0.06411332349806997,132.23084467996637,3054.6801889678422,6300140.432222898,1.0
2023-11-25,0.05694188870052591,118.62231903453781,2811.251468168325,5856447.26849912,1.0
2023-11-24,0.07257033804018342,151.0238351369986,3578.9179070031028,7447972.857130742,1.0
2023-11-23,0.0766756905536223,158.1262943198393,4073.5240756595904,8400723.387763081,1.0
2023-11-22,0.09092661309844854,186.54173146985508,4870.0893021116735,9991298.035538847,1.0
2023-11-21,0.07796065630781833,150.59227781006672,4885.304441803452,9436671.758919498,1.0
2023-11-20,0.07501823518954635,151.60673258084097,4803.594813640613,9707737.22546606,1.0
2023-11-19,0.06920356043496233,139.26968352530565,2687.238781503347,5407971.675223576,1.0
2023-11-18,0.06897315382064766,135.46568735301142,2846.092437090569,5589825.126211129,1.0
2023-11-17,0.07085505284677658,139.03178818130505,3511.912438813587,6891074.760190994,1.0
2023-11-16,0.08065861073703368,158.21989576591986,4309.976215511689,8454447.471145866,1.0
2023-11-15,0.08275435994773897,170.4776559257788,4277.555730764783,8811954.736078968,1.0
2023-11-14,0.10336998665014306,204.69810962878887,4655.0404737327535,9218130.098474553,1.0
2023-11-13,0.13429907698878032,275.67753209786514,5953.369183306036,12220561.458202735,1.0
2023-11-12,0.07823042828570052,160.0251786426795,3553.407615238734,7268715.01127618,1.0
2023-11-11,0.06947871675174594,142.64840419191015,3645.3838510937317,7484424.199766373,1.0
2023-11-10,0.09493716968775658,197.29836707677148,4882.090672837344,10145957.803877588,1.0
2023-11-09,0.09481968692257983,201.14031707919324,6046.715295704809,12826853.487279812,1.0
2023-11-08,0.07297745908661446,137.84803402868795,3961.776450452961,7483449.023731005,1.0
2023-11-07,0.06306239713262851,118.94061878540033,3442.543369836681,6492906.347070944,1.0
2023-11-06,0.0842452582090631,160.19374979581528,3835.366866070881,7293013.436955927,1.0
2023-11-05,0.06716400576829058,126.97778447709224,2533.2575204468467,4789282.946672281,1.0
2023-11-04,0.059653168963934966,110.66740480826807,2186.4025631529676,4056171.729561766,1.0
2023-11-03,0.06917033141962517,126.70121213207719,2870.748579222761,5258429.694479745,1.0
2023-11-02,0.06996417644346903,125.98809839564943,3280.9906913737454,5908249.036476607,1.0
2023-11-01,0.07513559643376852,138.71686326991681,3347.9173803357576,6180993.025008987,1.0
2023-10-31,0.07620212952514617,138.30384021641402,3155.7851388156264,5727624.756891636,1.0
2023-10-30,0.07145404567658069,129.21975497180796,2868.34826663889,5187211.678209683,1.0
2023-10-29,0.056323004183061055,101.13903044537743,1913.8882079163977,3436762.660961195,1.0
2023-10-28,0.06148248947976571,109.22230051917894,1922.801280224177,3415814.5033542216,1.0
2023-10-27,0.07036915969732883,125.24071006115278,2511.5848291576845,4470035.861384141,1.0
2023-10-26,0.07705990777217717,138.9916341159524,3195.920854026152,5764427.636217958,1.0
2023-10-25,0.07457740686732782,133.28519668428692,3209.8436915797574,5736652.234625423,1.0
2023-10-24,0.0750955887501256,134.04050739388256,3408.3911922860198,6083745.961843789,1.0
2023-10-23,0.08063907009610799,142.28817053234962,2831.4957054751626,4996192.829630742,1.0
2023-10-22,0.04924762977208544,81.93064561727765,1252.7896313380338,2084199.0526889449,1.0
2023-10-21,0.045640281137180244,74.35241940023273,1240.2318273389203,2020457.2514059155,1.0
2023-10-20,0.06803049789233359,109.1105285676304,1921.0396468825788,3081054.200168552,1.0
2023-10-19,0.059039772473669115,92.4858775243657,1434.2481503345157,2246751.5238231146,1.0
2023-10-18,0.04924293733116632,77.01924597282085,1391.7066932786208,2176722.3066079537,1.0
2023-10-17,0.04987692968151258,78.08756671185692,1314.6562510735193,2058232.3002715737,1.0
2023-10-16,0.06000930931747888,96.02528272224053,1647.243051187608,2635874.025240015,1.0
2023-10-15,0.037178931927743776,57.93092868040805,894.2319238054674,1393361.323622681,1.0
2023-10-14,0.035102552763688115,54.587579283737426,838.3343533124684,1303684.1874663983,1.0
2023-10-13,0.05554600749397012,86.2101403013337,1270.7757525774641,1972306.5772662214,1.0
2023-10-12,0.048898247595006473,75.28162867417778,1249.2300053480064,1923260.5260245278,1.0
2023-10-11,0.044891533246776895,70.34840808366295,1168.9961349607074,1831904.8426875684,1.0
2023-10-10,0.04282509228195835,67.1225360116956,1115.1519271242223,1747849.7160983693,1.0
2023-10-09,0.048395858136682485,76.55285918953777,1222.0040196255243,1932973.3007159065,1.0
2023-10-08,0.03543271865051884,57.88612954468656,926.4424692117257,1513521.1417852626,1.0
2023-10-07,0.039889880751050044,65.20327225850409,941.3532909014734,1538718.9372951898,1.0
2023-10-06,0.044842687558777045,73.80301365888823,1178.63559221955,1939822.5986659308,1.0
2023-10-05,0.04720691478922525,76.08529616165768,1280.2943779461996,2063502.2931508245,1.0
2023-10-04,0.051580066296685746,84.9177176943663,1380.27128249268,2272379.535810825,1.0
2023-10-03,0.05851408723720394,96.98916799199591,1638.5205826672993,2715905.785327184,1.0
2023-10-02,0.09038667250037909,150.27575750133306,2370.0577197303114,3940428.4868752183,1.0
2023-10-01,0.0453452284818117,78.6414946790176,1164.053518223392,2018799.146555742,1.0
2023-09-30,0.04605402206134676,76.93112799999177,1208.1695101066698,2018191.6598705326,1.0
2023-09-29,0.0536092814934937,89.37066858141976,1412.9955766460428,2355568.958758972,1.0
2023-09-28,0.05235150377001791,86.5246975053494,1598.107257795617,2641294.6544825085,1.0
2023-09-27,0.05632450278163329,89.98824954344134,1683.8635888332951,2690266.746188776,1.0
2023-09-26,0.06964398342535529,110.96492252934925,2066.8400722660854,3293130.8236464616,1.0
2023-09-25,0.06414153898089657,101.92129038609086,1805.7877571795057,2869407.583593459,1.0
2023-09-24,0.038246642729378375,60.520009215724926,1082.4585610615081,1712840.5898163274,1.0
2023-09-23,0.038591539474473434,61.498505734027276,1128.577196604224,1798472.2076859907,1.0
2023-09-22,0.05419824398592583,86.34013434524194,1406.4943870680518,2240606.067731991,1.0
2023-09-21,0.06325759044357517,100.20115089622577,2474.3823677619325,3919465.779023452,1.0
2023-09-20,0.06467857800078468,104.90951963005111,2031.6379231514272,3295343.917075993,1.0
2023-09-19,0.0638173078498648,104.87827509990841,1802.7405651414915,2962649.58981773,1.0
2023-09-18,0.07166678809997956,117.22473285579828,2202.605448275787,3602782.294368353,1.0
2023-09-17,0.04591635686271459,74.51389312167932,1283.6195724522333,2083081.0230998518,1.0
2023-09-16,0.05477688931949171,89.54259297870962,1488.003196930179,2432406.5544613893,1.0
2023-09-15,0.0696047130813708,114.20966379556013,2261.108310890621,3710099.626303623,1.0
2023-09-14,0.07200752913347055,117.12087920922426,2462.7019387524047,4005606.3548898106,1.0
2023-09-13,0.061572552439597535,99.00011031292438,2432.136647475915,3910537.842855025,1.0
2023-09-12,0.06598724063731778,105.11386001934738,2112.944582708916,3365798.5839447156,1.0
2023-09-11,0.08074971650386621,125.27187437499832,2842.160269560287,4409213.550922135,1.0
2023-09-10,0.05044386206472596,81.54995339890975,1387.5517170766968,2243182.2868952756,1.0
2023-09-09,0.06031247199030725,98.62769950363102,1550.3491555152082,2535252.91850806,1.0
2023-09-08,0.08825410331486065,144.41833731242994,2322.2764212465004,3800155.3122097943,1.0
2023-09-07,0.0695622824457195,114.5957364446045,2503.107630204721,4123577.493410291,1.0
2023-09-06,0.07445600547189601,121.54377140595199,2582.7347702708776,4216118.263804753,1.0
2023-09-05,0.07016527570170962,114.66088506908922,2358.177183849608,3853625.320299855,1.0
2023-09-04,0.059884290069064115,97.66630743775502,2129.227422255514,3472593.225820563,1.0
2023-09-03,0.04969935669926426,81.33755871537991,1639.6726305486598,2683474.751358852,1.0
2023-09-02,0.04694017726413881,76.8230782287829,1626.8082546872215,2662461.5648510824,1.0
2023-09-01,0.05836274096117066,95.06949641931283,2328.4827723193184,3792962.4438427472,1.0
2023-08-31,0.06443307692929123,106.0158350501146,2816.2228747373692,4633710.416781127,1.0
2023-08-30,0.07135574168779216,121.67162144398628,2963.0633551815467,5052441.672368973,1.0
2023-08-29,0.11117818160809599,192.19330347198957,4190.802614465769,7244624.682857508,1.0
2023-08-28,0.09953184483458892,164.42959627162364,3519.9455731933385,5815055.778983543,1.0
2023-08-27,0.05029844324421858,83.37176360299351,1719.821006621096,2850674.914674567,1.0
2023-08-26,0.05568412569053464,91.67364232932434,1783.772920011719,2936653.1060338668,1.0
2023-08-25,0.09451073702577925,156.43407728296285,3083.290342853229,5103459.087914548,1.0
2023-08-24,0.06958240307327761,115.65258932679808,2638.8760518978393,4386063.643031455,1.0
2023-08-23,0.0742188093723307,124.62786451042489,2948.509278711474,4951122.471549353,1.0
2023-08-22,0.08150986889072463,133.20439398529118,3937.6124656787906,6434892.969130483,1.0
2023-08-21,0.0797311846076069,132.954640917119,2997.2303675415556,4997990.299824957,1.0
2023-08-20,0.06281133732902344,105.85454611594625,2047.6283032763852,3450822.3176667206,1.0
2023-08-19,0.06220827965674776,103.88261404385096,1996.2387220854034,3333551.383353425,1.0
2023-08-18,0.08525740151889462,141.72952859945312,3269.3852155571813,5434934.881380941,1.0
2023-08-17,0.10031266107134035,168.68837283758768,4814.385487143989,8095995.514082167,1.0
2023-08-16,0.09750125270659829,176.37423206483382,3907.8577327021253,7069092.8320484655,1.0
2023-08-15,0.08259385397989626,150.90464664060198,3335.8626273875866,6094850.2433370305,1.0
2023-08-14,0.0752856995417366,138.82752451899339,2785.3867718042898,5136278.904377705,1.0
2023-08-13,0.0608504271496995,111.91922928947398,1948.128612273522,3583098.1482847617,1.0
2023-08-12,0.06337722630955746,116.94400723610757,1975.778617543256,3645717.5929152546,1.0
2023-08-11,0.06993590992032987,129.15006030245922,2498.4518348503957,4613870.120533301,1.0
2023-08-10,0.08066066122443313,149.42589268825967,2954.9597901043503,5474136.931083137,1.0
2023-08-09,0.07313070974798978,135.69646215351767,2868.9588262944108,5323448.440933,1.0
2023-08-08,0.08725494966986923,162.01403956491478,3183.3151084619576,5910744.798790961,1.0
2023-08-07,0.08547409668960464,156.4380168412889,3092.7375482397592,5660448.573258341,1.0
2023-08-06,0.064131349966614,117.42812662552225,2002.5302616533497,3666746.0962429093,1.0
2023-08-05,0.07342170013840689,134.8930242644455,2242.7106083053714,4120389.693155776,1.0
2023-08-04,0.06955582043589362,127.39844910437915,2562.3378346227196,4693178.287117903,1.0
2023-08-03,0.08030568004851318,147.30265752527035,2957.94369483269,5425680.559528985,1.0
2023-08-02,0.09420838073387545,173.43343597699547,3218.3007550653238,5924748.452423346,1.0
2023-08-01,0.07936365995931946,149.0122922194878,3004.989318069114,5642133.271198419,1.0
2023-07-31,0.0685358725608067,127.2825283700075,3021.404737394805,5611251.74066366,1.0
2023-07-30,0.08956984315598605,166.7712145290774,2728.940579998432,5081048.6975114,1.0
2023-07-29,0.07919238190781973,149.25004585481605,2842.3789491121365,5356893.911658702,1.0
2023-07-28,0.11912154867265307,223.6664823516377,4772.719237072192,8961412.396857098,1.0
2023-07-27,0.11808011848152021,218.7416907492112,4102.781970684386,7600343.534405716,1.0
2023-07-26,0.10234956777349548,191.81119807580933,3519.819523301009,6596420.62455124,1.0
2023-07-25,0.1229204197378124,228.3381189728643,3982.9124139678033,7398695.274380974,1.0
2023-07-24,0.12168746490228159,225.11469448354265,4227.9958896446415,7821545.166869377,1.0
2023-07-23,0.09889138645982169,187.18596120189537,2788.9092388571175,5278969.941354963,1.0
2023-07-22,0.09132494532834616,170.5005586113124,2620.520862214472,4892423.086088441,1.0
2023-07-21,0.10436407062476939,197.1080724559182,3740.347904981586,7064239.267900647,1.0
2023-07-20,0.10793522407008799,202.992148274578,3551.8119131241187,6679839.10464787,1.0
2023-07-19,0.11763751890410054,222.1838950707935,3501.694663072687,6613707.657540368,1.0
2023-07-18,0.08862892071118351,167.52161052935546,3783.5558616621374,7151473.42862143,1.0
2023-07-17,0.10246925354901248,195.16726333252785,3005.713156552187,5724808.084468743,1.0
2023-07-16,0.08764992917217485,161.42739146881206,2276.1724111098683,4192092.090992677,1.0
2023-07-15,0.07167354453219885,137.1006712582028,1973.5040281078182,3775015.2967919405,1.0
2023-07-14,0.08605772541437234,166.37784323104094,3162.919656845705,6114962.349808588,1.0
2023-07-13,0.10431907214538216,200.90437372121417,4138.8981360815305,7970956.037324851,1.0
2023-07-12,0.09003761627283646,164.5020748799274,3496.496257377681,6388228.75325339,1.0
2023-07-11,0.08805333780410551,163.58276078451152,2915.8237299564494,5416926.917278413,1.0
2023-07-10,0.09332359682870697,175.1105438031402,2917.992543743334,5475263.261512283,1.0
2023-07-09,0.08992433266749798,159.99949111112602,2449.5099737810488,4358334.80939748,1.0
2023-07-08,0.08181711515473795,152.63571521150618,2585.6230545161575,4823665.848484498,1.0
2023-07-07,0.1107288980579535,203.96294442928604,4100.76580085921,7553622.241597717,1.0
2023-07-06,0.10275047305924709,189.6669667015137,4923.066427443226,9087482.016990885,1.0
2023-07-05,0.08038065053243948,153.51372953280426,5822.700406551353,11120393.396183502,1.0
2023-07-04,0.07174785006855834,138.9213451516299,3570.6140668879893,6913580.110281044,1.0
2023-07-03,0.0907401218576829,179.37448613995463,2797.9301557654135,5530930.2398012,1.0
2023-07-02,0.06822574270327118,137.33831534745048,2030.8305499290288,4088058.78004779,1.0
2023-07-01,0.0761279326553826,146.7556472209811,2349.489560746843,4529229.273664802,1.0
2023-06-30,0.10138023567724952,196.91752639471565,3804.654030982981,7390030.764516948,1.0
2023-06-29,0.11870104597195859,220.375925828747,4241.032508798364,7873742.458992685,1.0
2023-06-28,0.08585888640103326,157.03371681377587,2655.6516386019453,4857119.22030285,1.0
2023-06-27,0.11016462471433607,208.50555004684176,2674.968951801332,5062840.036897792,1.0
2023-06-26,0.06127643391505347,113.92362397041029,1928.7801734121065,3585940.1919830507,1.0
2023-06-25,0.049394013207661215,94.58914343218261,1729.3576741682834,3311706.226415265,1.0
2023-06-24,0.05170403057675125,97.01047251808362,1926.6886355360377,3614978.8100391645,1.0
2023-06-23,0.08352847881306903,158.3421407190529,2563.367890362327,4859290.687177547,1.0
2023-06-22,0.08009933075544212,150.51747247248025,2346.2570305930203,4408934.190647458,1.0
2023-06-21,0.0811491136033715,153.34527663259988,2801.7952145724344,5294476.343222241,1.0
2023-06-20,0.074050824621532,132.73644397597218,2504.38960767559,4489129.898988025,1.0
2023-06-19,0.07102641071839148,123.36618137466868,2473.835076810865,4296818.376292268,1.0
2023-06-18,0.05970777461334127,102.73721311360849,2038.9689791540534,3508387.1723562847,1.0
2023-06-17,0.08086703415324324,139.69598222516498,2423.027530301394,4185725.547478776,1.0
2023-06-16,0.08784742528704866,150.8427513497743,2733.517914416959,4693721.662612472,1.0
2023-06-15,0.06962898084152672,115.97428730291323,2548.7460606564864,4245200.839195027,1.0
2023-06-14,0.06753289301427243,111.66281207334326,2841.1025877857273,4697644.217225525,1.0
2023-06-13,0.060739263411886964,105.7666379184313,2225.9283891036375,3876058.8907077014,1.0
2023-06-12,0.06691212332974583,117.34846220144226,2329.5502349760186,4085494.886304375,1.0
2023-06-11,0.05256646940616529,92.20350799367482,2200.556804774871,3859857.0387494615,1.0
2023-06-10,0.07171319833433766,125.72628745454064,3029.9807122250563,5312107.601600526,1.0
2023-06-09,0.08557799978122167,157.44176590866613,2826.9083982747948,5200792.860597855,1.0
2023-06-08,0.08706816729120781,160.86530677507037,3136.365635946136,5794682.900557754,1.0
2023-06-07,0.07853530048766798,147.89893919456983,3066.9587428170325,5775745.961363925,1.0
2023-06-06,0.08619281540686755,162.48392946556956,3479.738571067863,6559729.994560118,1.0
2023-06-05,0.10316373228837085,186.8139444651083,4455.981464943924,8069109.710016019,1.0
2023-06-04,0.06574648493906789,124.31674525875634,2800.8980514941663,5296078.260093274,1.0
2023-06-03,0.07781286137248712,147.29164665920734,3102.3291766931384,5872386.194958789,1.0
2023-06-02,0.0925334345461289,176.48939592024047,4088.703270115535,7798400.370409585,1.0
2023-06-01,0.11671043365277942,217.28347188347945,5012.313855453322,9331581.784047548,1.0
2023-05-31,0.11565796208018281,216.74825963095762,4927.19502943358,9233786.660979228,1.0
2023-05-30,0.11574874256958718,220.02615679392255,5696.106111138789,10827697.204319732,1.0
2023-05-29,0.138938587061309,263.0140520426512,4832.601471329484,9148229.60104508,1.0
2023-05-28,0.11299365034007444,215.76705774114964,3854.0419763526083,7359486.972460084,1.0
2023-05-27,0.09218642328447528,168.75910902802406,3344.02473801358,6121667.543314706,1.0
2023-05-26,0.11801505087322868,215.75296749404936,4147.022467749633,7581510.977295574,1.0
2023-05-25,0.14152161220816137,255.48844431313597,4887.23088334413,8822899.880112432,1.0
2023-05-24,0.13256598466291775,238.6276605090328,5523.500814384305,9942671.798559507,1.0
2023-05-23,0.150156827153604,278.4168402146085,6627.440492447992,12288425.87843287,1.0
2023-05-22,0.1359015166183967,246.95497375224846,5846.704909145144,10624405.770462368,1.0
2023-05-21,0.10354595171686709,186.8928869817705,4337.97717128647,7829732.246989218,1.0
2023-05-20,0.0754149202383051,137.15147812083552,4103.3802495030795,7462510.9293073015,1.0
2023-05-19,0.13924257750894925,252.36550753324212,5791.9776086871225,10497474.227978546,1.0
2023-05-18,0.14198006989348874,255.69954580120805,6567.36338588432,11827518.018140633,1.0
2023-05-17,0.1330050203131507,242.42282558517385,6463.277175613376,11780351.687201966,1.0
2023-05-16,0.14419193474493713,263.0797418026441,6959.143874349764,12697033.137601836,1.0
2023-05-15,0.18774814740756093,340.866297320549,7380.823735108331,13400260.362093367,1.0
2023-05-14,0.11793383457948811,212.09637896753856,5109.269103510552,9188690.250675417,1.0
2023-05-13,0.12508152185729735,224.46544290581602,5314.840026906666,9537763.075622218,1.0
2023-05-12,0.20736647675778072,374.8728437907055,8240.348862570578,14896732.877164198,1.0
2023-05-11,0.27559828661432784,494.50045630491263,12194.225275540492,21879852.872518484,1.0
2023-05-10,0.23600850204465063,433.24084568927157,11575.029999304288,21248284.457263023,1.0
2023-05-09,0.22092258108410365,407.9708171864043,11172.222861320553,20631394.347083054,1.0
2023-05-08,0.2593580015832946,478.8226272481701,13212.109721368317,24391987.328931298,1.0
2023-05-07,0.2697341733429824,500.5334083995034,13465.9998645548,24988242.03910692,1.0
2023-05-06,0.30497186407136445,573.3878591465909,16438.037011023764,30905706.26580088,1.0
2023-05-05,0.29785842523942657,592.4728639415471,16720.441094463007,33258779.279583577,1.0
2023-05-04,0.18086408936059714,339.2046590894639,9348.764905192815,17533301.518196985,1.0
2023-05-03,0.1615524293528637,307.43872275522017,9047.388530317443,17217429.568673443,1.0
2023-05-02,0.22401452573431724,418.0570161812453,10313.81270534,19247688.295715414,1.0
2023-05-01,0.18204405852228953,333.0396074871825,8326.160569381294,15232253.501766894,1.0
2023-04-30,0.11038933031447168,206.18909484269972,5317.539544798515,9932288.405127957,1.0
2023-04-29,0.08079009717044237,154.06966773854754,4310.365856505147,8220025.208563463,1.0
2023-04-28,0.09809683145746241,185.47078821918018,4658.317406059486,8807438.407953337,1.0
2023-04-27,0.0994728326399202,189.92434678438428,4563.562312572533,8713249.318662087,1.0
2023-04-26,0.10034124344011776,187.15364945961764,4946.584512004843,9226229.534763694,1.0
2023-04-25,0.09283798445030535,173.2636970952722,4683.301459259961,8740453.923549127,1.0
2023-04-24,0.10937024792646508,201.37655895180686,5397.773494587575,9938580.856762327,1.0
2023-04-23,0.10167454098561017,189.33284854931776,5067.454063825263,9436339.75129173,1.0
2023-04-22,0.0902025319859515,169.0201406938637,4574.129915046357,8570935.480098885,1.0
2023-04-21,0.10529913673414901,194.614139593413,4912.825040423097,9079896.073875846,1.0
2023-04-20,0.17898418790856116,347.7880355088607,8112.438239749129,15763453.696986359,1.0
2023-04-19,0.18623192774131841,360.0134783102238,8768.99475591574,16951745.823876355,1.0
2023-04-18,0.15260831932357008,320.98601713284614,6368.508635297047,13395090.32653643,1.0
2023-04-17,0.09649353262864536,199.9683531938317,4183.919844275083,8670545.458984574,1.0
2023-04-16,0.0506766655899147,107.35771186017391,3129.2462978305944,6629258.623694275,1.0
2023-04-15,0.04236003969980247,88.57211806167433,2853.0757073179816,5965597.770406284,1.0
2023-04-14,0.07871523878126653,165.15718961725824,3653.4422124075263,7665507.436329938,1.0
2023-04-13,0.05995685259293755,120.60309595044227,3494.6537565802,7029489.442680666,1.0
2023-04-12,0.048061713512470225,92.14791803864308,2786.036677633138,5341621.441702878,1.0
2023-04-11,0.08411275976562947,159.03343355604207,3438.5707925182037,6501364.61083216,1.0
2023-04-10,0.05170016852279724,98.74524121921957,2928.181429491097,5592708.686456975,1.0
2023-04-09,0.03835884174282773,71.27295532991333,2460.749119934621,4572214.752444056,1.0
2023-04-08,0.053542634899007666,99.02082662788298,2611.068024363509,4828864.224590109,1.0
2023-04-07,0.04571333409095056,85.28273058018375,2872.963392146584,5359796.3878918,1.0
2023-04-06,0.04929517497045502,92.02689349965902,3403.0287849073884,6352957.82503347,1.0
2023-04-05,0.05640786384824978,107.63306788846366,4065.7835115270395,7758009.661441279,1.0
2023-04-04,0.06584695892761695,123.2082078342277,3598.7568067344496,6733741.144771596,1.0
2023-04-03,0.06993849558946953,126.58687535653283,3509.596866437799,6352279.918790994,1.0
2023-04-02,0.04674181681905179,83.85627298685696,2472.491596889493,4435726.816291974,1.0
2023-04-01,0.04708733131062809,85.72650397635846,2601.7258685808197,4736663.913844414,1.0
2023-03-31,0.06106922573143729,111.2356952971971,3315.878460138997,6039769.4848239515,1.0
2023-03-30,0.07334534307684124,131.51604285602878,3944.0018498680456,7072017.04364625,1.0
2023-03-29,0.06445136881884743,115.56721540179065,3658.590614593917,6560188.516897754,1.0
2023-03-28,0.09864847733901587,174.81033077238547,3555.380056657168,6300321.9156629555,1.0
2023-03-27,0.06467358095852498,110.94276288142686,3370.842044101444,5782431.157620871,1.0
2023-03-26,0.0596843958024803,105.90720005801472,2284.318257294301,4053417.102052483,1.0
2023-03-25,0.038714250816947904,67.47110450247816,2135.6557323271386,3722015.7450155406,1.0
2023-03-24,0.05612990471291931,98.0744237155184,2841.020783026267,4964046.838921142,1.0
2023-03-23,0.0566183362384576,102.55864374806035,2789.3376095501767,5052615.481071155,1.0
2023-03-22,0.061566238056661136,106.85264095431796,2536.67221383717,4402577.351477656,1.0
2023-03-21,0.06271286302830582,113.16176204707739,2425.631800497892,4376913.369397189,1.0
2023-03-20,0.07553037540679226,130.86093528339012,2718.190771703608,4709429.613556857,1.0
2023-03-19,0.06278373955512175,111.73669376842138,2329.9526645746023,4146634.291318695,1.0
2023-03-18,0.054777242901582326,96.19506986396121,2271.3387302238502,3988729.192361245,1.0
2023-03-17,0.07146276141595405,127.79536851694944,3113.7744359693165,5568298.000789518,1.0
2023-03-16,0.08161316739012017,136.61646364260275,3124.7896246352666,5230745.500957546,1.0
2023-03-15,0.08355564810754655,137.65832130430056,3470.212190031532,5717190.823947615,1.0
2023-03-14,0.08632425868741937,146.45362051625563,3815.0077028375495,6472360.132290241,1.0
