date,transactions_count_total,transactions_count_mean
2023-07-02,925771,129.84165498
2023-07-01,1015838,142.8745429
2023-06-30,1129184,158.50421112
2023-06-29,1064346,149.23527762
2023-06-28,1094481,153.20282755
2023-06-27,1067370,150.39735099
2023-06-26,996984,140.32146376
2023-06-25,934895,131.50865101
2023-06-24,1004563,141.28874824
2023-06-23,1054976,148.3583181
2023-06-22,1052333,147.9242339
2023-06-21,1091714,153.0082691
2023-06-20,1072045,150.56811798
2023-06-19,1046350,146.93863221
2023-06-18,1001818,140.58630368
2023-06-17,984217,137.80691683
2023-06-16,1146585,161.0372191
2023-06-15,1110065,156.19318981
2023-06-14,1023424,144.22547914
2023-06-13,952433,133.90032335
2023-06-12,975959,137.40095734
2023-06-11,1106073,155.89471459
2023-06-10,1204433,169.51907108
2023-06-09,1046976,147.46140845
2023-06-08,1008582,142.51547266
2023-06-07,1071257,151.11539004
2023-06-06,1095144,154.35433404
2023-06-05,1151611,162.79488267
2023-06-04,962454,135.74809591
2023-06-03,1003794,141.35952683
2023-06-02,1102996,155.57066291
2023-06-01,1071180,150.89167488
2023-05-31,1098149,154.64709196
2023-05-30,1190789,167.62232545
2023-05-29,1082245,152.1502882
2023-05-28,968996,135.90406732
2023-05-27,982620,137.89222565
2023-05-26,1059510,148.80758427
2023-05-25,1062757,149.47355837
2023-05-24,1054823,148.31594488
2023-05-23,1113165,156.91640823
2023-05-22,1075234,151.22841069
2023-05-21,1014742,143.02212826
2023-05-20,1049772,147.64725738
2023-05-19,1073998,151.60897798
2023-05-18,1054402,148.25674916
2023-05-17,1043585,147.54488901
2023-05-16,1072600,151.41163185
2023-05-15,1091921,154.16080757
2023-05-14,992354,140.7195122
2023-05-13,994500,140.46610169
2023-05-12,1070884,154.81914125
2023-05-11,1099638,156.15421755
2023-05-10,1086375,152.85985648
2023-05-09,1126707,158.42336895
2023-05-08,1145960,161.06254392
2023-05-07,1101487,154.87724972
2023-05-06,1145565,161.14291743
2023-05-05,1208548,169.52559966
2023-05-04,1110210,155.8626983
2023-05-03,1117146,157.34450704
2023-05-02,1127805,158.60005625
2023-05-01,1102060,155.02321002
2023-04-30,974972,136.87659694
2023-04-29,887098,124.71502882
2023-04-28,987649,138.69526752
2023-04-27,939262,132.10436006
2023-04-26,978121,137.28014035
2023-04-25,976311,137.06457953
2023-04-24,940804,131.9315664
2023-04-23,867666,121.67522087
2023-04-22,862010,120.78043996
2023-04-21,1009840,142.27106227
2023-04-20,1073576,152.77871069
2023-04-19,1085066,153.23626606
2023-04-18,1070108,151.40181098
2023-04-17,1011979,143.2383581
2023-04-16,854249,121.30772508
2023-04-15,1056292,150.46894587
2023-04-14,1166392,166.48472738
2023-04-13,1094764,168.21819299
2023-04-12,1021632,145.61459521
2023-04-11,1084502,153.59042629
2023-04-10,1016480,143.89580974
2023-04-09,956899,135.82668559
2023-04-08,924776,130.95100538
2023-04-07,1043552,147.85378294
2023-04-06,1036898,148.23416726
2023-04-05,1123693,159.57015053
2023-04-04,1068725,152.21834497
2023-04-03,1052294,148.67109353
2023-04-02,981226,138.22031272
2023-04-01,1020143,143.39935339
2023-03-31,1150727,161.52821449
2023-03-30,1187924,166.89013768
2023-03-29,1165012,163.78630676
2023-03-28,1149677,161.67585431
2023-03-27,1100122,154.62009838
2023-03-26,1011463,142.01951699
2023-03-25,1052415,147.76958719
2023-03-24,1084231,152.25825025
2023-03-23,1077305,151.64766329
2023-03-22,1073049,150.60336842
2023-03-21,1081542,152.00871398
2023-03-20,1123422,157.51850813
2023-03-19,992358,139.49367444
2023-03-18,1023641,143.74961382
2023-03-17,1068367,150.13589095
2023-03-16,1042763,146.47605001
2023-03-15,1076742,151.63244613
2023-03-14,1105574,155.32087665
2023-03-13,1173725,164.73333333
2023-03-12,974883,137.13363342
2023-03-11,1031282,144.96513916
2023-03-10,1065950,150.51539113
2023-03-09,1037747,145.89441867
2023-03-08,1011772,142.40281492
2023-03-07,1035152,145.46824058
2023-03-06,1037182,145.83548931
2023-03-05,940858,132.14297753
2023-03-04,971157,136.62872819
2023-03-03,1092189,153.85110579
2023-03-02,1088950,153.39484434
2023-03-01,1081357,151.91865693
2023-02-28,1044634,146.94528063
2023-02-27,1034112,144.97574653
2023-02-26,982721,138.04200028
2023-02-25,995229,139.93658605
2023-02-24,1095771,154.6606916
2023-02-23,1093537,153.62981174
2023-02-22,1080839,152.31665727
2023-02-21,1084290,152.39494027
2023-02-20,1059640,148.63795764
2023-02-19,1002399,140.84572151
2023-02-18,972865,136.8497679
2023-02-17,1066755,150.31069466
2023-02-16,1138195,159.01019838
2023-02-15,1160879,162.31529642
2023-02-14,1141796,159.73642977
2023-02-13,1054742,147.33091214
2023-02-12,953020,133.14054205
2023-02-11,961493,134.32425258
2023-02-10,1071635,149.50265067
2023-02-09,1082467,151.28819008
2023-02-08,1121215,157.05490965
2023-02-07,1142836,159.88192501
2023-02-06,1077149,150.2928701
2023-02-05,1069625,149.26388501
2023-02-04,1064597,148.76984349
2023-02-03,1072608,149.95218789
2023-02-02,1104114,154.6161602
2023-02-01,1064236,148.65707501
2023-01-31,1086364,151.66326958
2023-01-30,1074566,149.91155134
2023-01-29,998228,139.43679285
2023-01-28,964429,134.52768866
2023-01-27,1100192,153.80847197
2023-01-26,1048864,146.36673179
2023-01-25,1020705,142.59639564
2023-01-24,1032293,144.05428412
2023-01-23,947725,132.27145848
2023-01-22,889814,124.27569832
2023-01-21,994076,138.77928242
2023-01-20,1024504,142.92745536
2023-01-19,1007125,140.6599162
2023-01-18,1118225,156.06769016
2023-01-17,1018353,142.00990099
2023-01-16,1057284,147.66536313
2023-01-15,1000777,140.04715925
2023-01-14,1107804,154.50543933
2023-01-13,1076328,150.28316113
2023-01-12,1085563,151.69969257
2023-01-11,1083178,151.38756115
2023-01-10,1061055,148.06795981
2023-01-09,1093675,152.59871634
2023-01-08,1184114,165.26364271
2023-01-07,957607,133.6879799
2023-01-06,1028132,143.59385475
2023-01-05,1142818,159.76764994
2023-01-04,1046389,145.93988842
2023-01-03,948116,132.27064732
2023-01-02,920276,128.33300795
2023-01-01,742785,103.56734523
2022-12-31,865806,120.82137873
2022-12-30,944771,131.84077589
2022-12-29,945627,132.05236699
2022-12-28,977389,136.25944514
2022-12-27,1025274,143.27473449
2022-12-26,937653,130.92055292
2022-12-25,836424,116.68861607
2022-12-24,911507,127.19885571
2022-12-23,1044772,145.51142061
2022-12-22,989565,137.86082474
2022-12-21,1029079,143.6659221
2022-12-20,992470,138.45842634
2022-12-19,994746,138.85343384
2022-12-18,916817,128.01130969
2022-12-17,1040618,145.27683931
2022-12-16,1153272,161.07150838
2022-12-15,1080176,150.94689771
2022-12-14,1095120,152.88566243
2022-12-13,1151038,160.96182352
2022-12-12,1182001,165.17621576
2022-12-11,1068092,149.17486034
2022-12-10,1103199,153.97055129
2022-12-09,1932711,270.23364094
2022-12-08,923887,129.01647815
2022-12-07,972121,137.40226148
2022-12-06,1049066,146.31324965
2022-12-05,1008205,141.12611982
2022-12-04,962172,134.49426894
2022-12-03,963761,134.54711713
2022-12-02,1032952,144.12613367
2022-12-01,984139,137.39201452
2022-11-30,1026508,143.54747588
2022-11-29,1047387,146.44672819
2022-11-28,1087721,151.59874564
2022-11-27,881336,123.10881408
2022-11-26,934988,130.60315687
2022-11-25,999123,139.62031861
2022-11-24,990202,138.18057494
2022-11-23,972566,136.27098221
2022-11-22,962924,134.67468531
2022-11-21,963954,134.57406115
2022-11-20,927233,129.44757783
2022-11-19,911890,127.27006281
2022-11-18,1008485,140.86953485
2022-11-17,1103401,154.12781115
2022-11-16,1083796,151.57986014
2022-11-15,1136911,158.98629562
2022-11-14,1192824,166.43281708
2022-11-13,1133442,158.03708868
2022-11-12,1033438,144.17382813
2022-11-11,1118967,156.47699622
2022-11-10,1184632,165.42829214
2022-11-09,1219648,170.67562273
2022-11-08,1132048,157.99692952
2022-11-07,1106711,154.39606585
2022-11-06,962845,134.32547433
2022-11-05,952067,133.02598854
2022-11-04,1014135,141.48088728
2022-11-03,1093977,152.89685535
2022-11-02,1015945,141.97107323
2022-11-01,1071986,150.20120499
2022-10-31,1063248,148.47758693
2022-10-30,1033475,144.17898996
2022-10-29,1038800,145.28671329
2022-10-28,1059633,148.15897651
2022-10-27,1111785,155.23387322
2022-10-26,1104723,154.16173598
2022-10-25,1048003,146.53285794
2022-10-24,1039240,145.96067416
2022-10-23,1009771,140.97040346
2022-10-22,959417,133.88459392
2022-10-21,1116822,155.87187718
2022-10-20,1155589,161.2824843
2022-10-19,1088602,152.16689964
2022-10-18,1062562,148.23688616
2022-10-17,1073063,149.99482807
2022-10-16,980678,137.02361325
2022-10-15,1037870,144.81233431
2022-10-14,1071895,149.66419994
2022-10-13,1124129,157.06706721
2022-10-12,1074204,149.94472362
2022-10-11,1130309,157.77624232
2022-10-10,1123390,156.78855548
2022-10-09,1068531,149.19449874
2022-10-08,1180084,164.60929
2022-10-07,1180358,165.17744193
2022-10-06,1202667,168.04065949
2022-10-05,1169356,163.59205372
2022-10-04,1185269,166.19026921
2022-10-03,1307142,182.63825625
2022-10-02,1163876,162.21268293
2022-10-01,1158038,162.25837186
2022-09-30,1225886,171.16531695
2022-09-29,1129558,157.89180878
2022-09-28,1109706,154.94359118
2022-09-27,1214294,170.0453718
2022-09-26,1141218,159.65556799
2022-09-25,1107217,154.46665737
2022-09-24,1109206,154.74414063
2022-09-23,1119895,156.25715083
2022-09-22,1118297,156.36143736
2022-09-21,1100130,155.95832152
2022-09-20,1149031,160.97380219
2022-09-19,1138210,159.74877193
2022-09-18,1156893,162.25708275
2022-09-17,1322077,185.42454418
2022-09-16,1311849,184.97588832
2022-09-15,1265640,188.14330311
2022-09-14,1109172,187.7089186
2022-09-13,1093205,180.27786939
2022-09-12,1068969,176.7767488
2022-09-11,1024482,168.8892186
2022-09-10,998158,165.1485771
2022-09-09,1093966,180.37361913
2022-09-08,1078689,171.43817546
2022-09-07,1068296,171.8070119
2022-09-06,1076929,172.06087234
2022-09-05,1091350,176.85140172
2022-09-04,1113119,177.55925985
2022-09-03,1035586,167.03
2022-09-02,1083220,172.13093914
2022-09-01,1085160,173.29287767
2022-08-31,1035135,165.6216
2022-08-30,1051964,169.37111576
2022-08-29,1083202,171.20309783
2022-08-28,1025044,164.29620131
2022-08-27,1047949,168.04826812
2022-08-26,1057768,169.59563893
2022-08-25,1074563,173.03752013
2022-08-24,1043820,166.85102302
2022-08-23,1075718,169.32441366
2022-08-22,1059940,169.21136654
2022-08-21,1077250,169.29907276
2022-08-20,1096088,172.53077286
2022-08-19,1093309,174.7616688
2022-08-18,1117868,176.20870113
2022-08-17,1099261,174.84666773
2022-08-16,1086312,170.24165491
2022-08-15,1104408,176.14162679
2022-08-14,1102367,174.48037354
2022-08-13,1106236,173.39122257
2022-08-12,1130848,178.28283147
2022-08-11,1098707,174.01124485
2022-08-10,1160380,182.02039216
2022-08-09,1125139,177.32687155
2022-08-08,1167115,181.7087031
2022-08-07,1166932,180.91968992
2022-08-06,1148225,179.83163665
2022-08-05,1207188,185.40746429
2022-08-04,1459603,228.45562686
2022-08-03,1250888,196.83524784
2022-08-02,1206185,187.12147068
2022-08-01,1342202,208.38410185
2022-07-31,1158621,180.94971107
2022-07-30,1179749,183.73290765
2022-07-29,1192330,185.63443874
2022-07-28,1158611,179.96442995
2022-07-27,1197448,186.14145811
2022-07-26,1679068,263.17680251
2022-07-25,1275861,199.50914777
2022-07-24,1122303,175.33244805
2022-07-23,1144468,177.27199504
2022-07-22,1201699,185.79143476
2022-07-21,1204397,186.03599011
2022-07-20,1191452,184.92193078
2022-07-19,1175526,181.52038295
2022-07-18,1213565,187.97475217
2022-07-17,1245545,193.82897603
2022-07-16,1241502,192.54063275
2022-07-15,1217596,189.1852082
2022-07-14,1189567,181.89097859
2022-07-13,1174882,183.23175296
2022-07-12,1135896,174.45799416
2022-07-11,1146369,176.7996607
2022-07-10,1148902,176.89022325
2022-07-09,1170747,182.52993452
2022-07-08,1192819,182.02640012
2022-07-07,1194330,186.06169185
2022-07-06,1161432,179.23333333
2022-07-05,1182504,182.5697082
2022-07-04,1151999,179.02082362
2022-07-03,1157052,176.91926606
2022-07-02,1189382,183.3202836
2022-07-01,1178620,182.59024012
2022-06-30,1054433,187.35483298
2022-06-29,1005566,188.59077269
2022-06-28,976577,183.84356175
2022-06-27,994102,183.71872112
2022-06-26,919721,173.20546139
2022-06-25,939290,175.66672901
2022-06-24,1019472,189.98732762
2022-06-23,967965,182.32529667
2022-06-22,988683,184.6280112
2022-06-21,1012862,185.33613907
2022-06-20,1042748,177.6099472
2022-06-19,1018674,178.37051305
2022-06-18,1058336,181.96973865
2022-06-17,1110579,189.19574106
2022-06-16,1100312,189.05704467
2022-06-15,1097000,190.7826087
2022-06-14,1086757,189.0998782
2022-06-13,1109435,190.13453299
2022-06-12,1021635,174.96746018
2022-06-11,1031618,175.86396181
2022-06-10,1079448,183.05036459
2022-06-09,1022462,176.04373278
2022-06-08,1042749,177.24783274
2022-06-07,1050984,176.42840356
2022-06-06,1044319,180.24145668
2022-06-05,1007109,169.57551776
2022-06-04,1029121,174.48643608
2022-06-03,1067485,173.999185
2022-06-02,1092776,177.42750447
2022-06-01,1091283,178.34335676
2022-05-31,1149142,186.97396681
2022-05-30,1070320,175.57742782
2022-05-29,1065407,173.03995452
2022-05-28,1069802,173.50016218
2022-05-27,1093469,175.85541975
2022-05-26,1071180,175.8338805
2022-05-25,1094639,177.55701541
2022-05-24,1100715,181.21748436
2022-05-23,1085863,174.60411642
2022-05-22,1055644,172.43449853
2022-05-21,1094539,177.6849026
2022-05-20,1112811,180.82726682
2022-05-19,1093367,178.88857984
2022-05-18,1177913,188.58677554
2022-05-17,1135718,180.70294352
2022-05-16,1124352,178.80916031
2022-05-15,1089441,173.22960725
2022-05-14,1139785,182.74571108
2022-05-13,1342405,210.83791425
2022-05-12,1327755,214.56932773
2022-05-11,1210708,191.02366677
2022-05-10,1202934,193.77158505
2022-05-09,1158340,186.97982244
2022-05-08,1087198,171.67187747
2022-05-07,1051489,168.02317034
2022-05-06,1116562,177.09151467
2022-05-05,1187804,188.69007149
2022-05-04,1102254,176.13518696
2022-05-03,1077506,170.03408553
2022-05-02,1112065,174.90798993
2022-05-01,1154787,180.97273155
2022-04-30,1211671,190.87444865
2022-04-29,1168081,183.19965496
2022-04-28,1155514,182.02804033
2022-04-27,1161504,182.02538787
2022-04-26,1125250,178.04588608
2022-04-25,1149227,181.20892463
2022-04-24,1071778,168.17479994
2022-04-23,1051478,165.0412808
2022-04-22,1144822,178.48799501
2022-04-21,1119925,178.04848967
2022-04-20,1241534,193.26494396
2022-04-19,1214496,189.49851771
2022-04-18,1103439,173.76992126
2022-04-17,1043251,162.22220494
2022-04-16,1059286,165.41005621
2022-04-15,1110994,173.02507398
2022-04-14,1117285,174.35783396
2022-04-13,1067983,169.19882763
2022-04-12,1112524,172.5913745
2022-04-11,1113264,172.67938576
2022-04-10,1104239,172.510389
2022-04-09,1085399,168.82858921
2022-04-08,1104419,174.25355002
2022-04-07,1127793,175.61398318
2022-04-06,1127174,175.6269866
2022-04-05,1087129,168.91376631
2022-04-04,1105170,174.78570299
2022-04-03,1060779,165.07609711
2022-04-02,1094668,172.19883593
2022-04-01,1159493,180.2974654
2022-03-31,1167121,181.96460867
2022-03-30,1152200,180.20018768
2022-03-29,1199899,185.97318661
2022-03-28,1218023,188.46093146
2022-03-27,1122675,175.55512119
2022-03-26,1123878,175.41407835
2022-03-25,1146814,178.52023661
2022-03-24,1151969,179.32269614
2022-03-23,1164437,180.81319876
2022-03-22,1220571,189.35324232
2022-03-21,1162829,181.49352271
2022-03-20,1119066,174.14659197
2022-03-19,1127607,174.84989921
2022-03-18,1265944,197.24898722
2022-03-17,1174532,182.77808901
2022-03-16,1236011,193.39868565
2022-03-15,1190207,185.82466823
2022-03-14,1097913,170.00820688
2022-03-13,1041827,164.66366366
2022-03-12,1120627,172.16577047
2022-03-11,1119334,176.80208498
2022-03-10,1229591,189.75169753
2022-03-09,1178322,181.05746773
2022-03-08,1195626,187.05037547
2022-03-07,1174568,182.21656841
2022-03-06,1123245,174.93303224
2022-03-05,1077981,169.06853827
2022-03-04,1167450,179.71828818
2022-03-03,1167187,180.93117346
2022-03-02,1191369,186.03513429
2022-03-01,1161564,178.83972286
2022-02-28,1108112,172.49564134
2022-02-27,1125065,173.40705919
2022-02-26,1167802,180.77430341
2022-02-25,1137898,176.96702955
2022-02-24,1181182,182.14063223
2022-02-23,1147632,176.91259442
2022-02-22,1129213,174.71963484
2022-02-21,1134349,176.30540877
2022-02-20,1343869,206.17812212
2022-02-19,1150162,179.51646636
2022-02-18,1252754,195.19382985
2022-02-17,1141997,176.34295862
2022-02-16,1194693,186.37956318
2022-02-15,1192633,182.91917178
2022-02-14,1147522,177.88280887
2022-02-13,1115296,172.37959815
2022-02-12,1114648,172.25282028
2022-02-11,1183966,181.5898773
2022-02-10,1205676,187.2749301
2022-02-09,1205889,186.18017601
2022-02-08,1180780,183.63608087
2022-02-07,1163338,180.05540938
2022-02-06,1173884,179.52041597
2022-02-05,1235023,193.36511664
2022-02-04,1168994,178.3090299
2022-02-03,1111215,173.00560486
2022-02-02,1152665,178.59699411
2022-02-01,1173199,180.46439009
2022-01-31,1177345,182.19514082
2022-01-30,1183850,181.04450222
2022-01-29,1147157,177.5509983
2022-01-28,1137559,175.76622373
2022-01-27,1133684,174.57406837
2022-01-26,1146116,178.32830247
2022-01-25,1177640,182.29721362
2022-01-24,1147109,177.87393394
2022-01-23,1077884,166.95848823
2022-01-22,1204920,183.78889567
2022-01-21,1189898,186.12513687
2022-01-20,1190018,183.39004469
2022-01-19,1223143,188.96076008
2022-01-18,1169526,180.98514392
2022-01-17,1198719,185.33070501
2022-01-16,1162954,178.80596556
2022-01-15,1174849,181.13613938
2022-01-14,1218460,189.23124709
2022-01-13,1282921,199.2732215
2022-01-12,1283346,198.75267152
2022-01-11,1277649,195.74827639
2022-01-10,1233195,192.02662722
2022-01-09,1108322,170.38001537
2022-01-08,1183873,181.4364751
2022-01-07,1188490,185.03658726
2022-01-06,1212495,189.68945557
2022-01-05,1249628,193.44086687
2022-01-04,1221316,188.0683708
2022-01-03,1209173,187.14951246
2022-01-02,1158900,178.4295612
2022-01-01,1180989,181.52305564
2021-12-31,1214585,190.40366829
2021-12-30,1255688,195.22512438
2021-12-29,1252468,192.12578616
2021-12-28,1241032,192.64700404
2021-12-27,1252037,193.30507951
2021-12-26,1206942,186.63089531
2021-12-25,1299519,201.16393189
2021-12-24,1298329,200.73113791
2021-12-23,1245242,194.11410756
2021-12-22,1233315,191.92577031
2021-12-21,1203638,186.842285
2021-12-20,1201239,183.53537051
2021-12-19,1137581,176.28715326
2021-12-18,1159873,178.22264905
2021-12-17,1270355,196.40615337
2021-12-16,1155456,180.62466781
2021-12-15,1258462,194.26705773
2021-12-14,1214900,190.09544672
2021-12-13,1242978,191.64014801
2021-12-12,1181898,181.18933006
2021-12-11,1199384,184.86189889
2021-12-10,1237735,192.58363155
2021-12-09,1251338,199.19420567
2021-12-08,1296307,208.24208835
2021-12-07,1224771,195.46297478
2021-12-06,1244773,198.43344492
2021-12-05,1386491,222.62219011
2021-12-04,1235697,200.04808159
2021-12-03,1211488,192.48299968
2021-12-02,1265286,202.57540826
2021-12-01,1221643,195.8702902
2021-11-30,1280926,204.65345902
2021-11-29,1247688,201.01304978
2021-11-28,1135653,181.530211
2021-11-27,1213284,189.99123082
2021-11-26,1297524,208.67224188
2021-11-25,1301578,206.50134856
2021-11-24,1342491,212.95859772
2021-11-23,1264994,199.55734343
2021-11-22,1221508,191.84985079
2021-11-21,1260939,200.56290759
2021-11-20,1160128,184.29356632
2021-11-19,1255788,201.50641849
2021-11-18,1284250,201.54582549
2021-11-17,1353219,211.7713615
2021-11-16,1310153,209.49040614
2021-11-15,1289636,204.08862162
2021-11-14,1275744,201.06288416
2021-11-13,1300464,205.57445463
2021-11-12,1345131,209.48933188
2021-11-11,1347643,211.4613212
2021-11-10,1390746,217.91695393
2021-11-09,1334145,209.37617702
2021-11-08,1329018,209.42609518
2021-11-07,1276998,197.92281463
2021-11-06,1255921,198.12604512
2021-11-05,1339661,207.82826559
2021-11-04,1352186,215.24769182
2021-11-03,1417221,221.96100235
2021-11-02,1395656,221.25174382
2021-11-01,1341733,208.89506461
2021-10-31,1304184,206.45622922
2021-10-30,1379095,217.35145784
2021-10-29,1456333,228.69550879
2021-10-28,1510502,235.72128589
2021-10-27,1370504,215.99747833
2021-10-26,1344772,209.6619894
2021-10-25,1299495,202.47662823
2021-10-24,1261312,198.35068407
2021-10-23,1235169,194.57608696
2021-10-22,1256044,195.92013726
2021-10-21,1277275,196.89764144
2021-10-20,1259885,198.28218445
2021-10-19,1243503,193.09052795
2021-10-18,1197673,189.62523749
2021-10-17,1144184,179.19874706
2021-10-16,1181031,183.21920571
2021-10-15,1302993,206.23504274
2021-10-14,1227097,193.85418641
2021-10-13,1189854,188.26803797
